local_authority_area,2013_por,08-18_increment,region,local_authority_type,cap_ave,cep_ave,htp_ave,hap_ave,map_ave,scp_ave
Barking and Dagenham,0.345752109,0.076338633,London,london_borough,0.118089647,0.123712963,0.101219697,0.230555977,0.101219697,0.106843014
Barnet,0.172643303,0.058835435,London,london_borough,0.144168112,0.049017158,0.066317331,0.213368805,0.086500867,0.074967418
Barnsley,0.184828491,0.04559458,Yorkshire and the Humber,metropolitan_borough,0.168805788,0.185274646,0.020586072,0.107047573,0.119399216,0.057641001
Bath and North East Somerset,0.243387773,0.005631159,South West,unitary_authority,0.183016782,0.23293045,0.105373299,0.277298155,0.055459631,0.038821742
Bedford,0.198413902,0.018690747,East of England,unitary_authority,0.224944524,0.31613825,0.103352889,0.048636654,0.018238745,0.079034562
Bexley,0.247600214,0.05845418,London,london_borough,0.302028626,0.113260735,0.058727788,0.268469889,0.06292263,0.029363894
Birmingham,0.334290692,0.048947503,West Midlands,metropolitan_borough,0.060077162,0.255327937,0.122031735,0.118276912,0.131418791,0.092931859
Blackburn with Darwen,0.609410853,0.084385212,North West,unitary_authority,0.107962861,0.115160385,0.093567813,0.151148005,0.129555433,0.057580192
Blackpool,0.409933212,0.010436558,North West,unitary_authority,0.166453206,0.131775455,0.062419952,0.194195407,0.069355502,0.062419952
Bolton,0.209639114,0.050298685,North West,metropolitan_borough,0.198609493,0.245553555,0.039721899,0.090277042,0.111943532,0.039721899
Bournemouth,0.51051335,0.003107957,South West,unitary_authority,0.173551822,0.167953376,0.09517358,0.218339389,0.039189121,0.033590675
Bracknell Forest,0.178111328,0.054620145,South East,unitary_authority,0.301591542,0.21542253,0.077552111,0.034467605,0.112019715,0.034467605
Bradford,0.504224017,0.045229438,Yorkshire and the Humber,metropolitan_borough,0.18948827,0.290153913,0.035529051,0.232912665,0.094744135,0.043424395
Brent,0.390734428,0.046882488,London,london_borough,0.152670276,0.261720473,0.079970144,0.174480315,0.141765256,0.058160105
Brighton and Hove,0.226728557,0.001358339,South East,unitary_authority,0.226339991,0.261461714,0.058536205,0.148291718,0.120974823,0.081950686
Bristol,0.463853821,0.031537537,South West,unitary_authority,0.167135639,0.233531988,0.084712584,0.178583285,0.144240346,0.038921998
Bromley,0.229104689,0.080576984,London,london_borough,0.099108232,0.247770581,0.06813691,0.195119333,0.182730803,0.105302497
Buckinghamshire,0.212409385,0.0282076,South East,non_metropolitan_county,0.090762502,0.297392026,0.11779814,0.059864629,0.081106916,0.027035639
Bury,0.252111302,0.041074916,North West,metropolitan_borough,0.131628135,0.168484012,0.031590752,0.242195768,0.089507132,0.078976881
Calderdale,0.326605892,0.030984804,Yorkshire and the Humber,metropolitan_borough,0.220823319,0.139214701,0.086409125,0.163217236,0.067207097,0.038404055
Cambridgeshire,0.246647839,0.000571249,East of England,non_metropolitan_county,0.239511974,0.016074629,0.135026885,0.343997064,0.101270164,0.04983135
Camden,0.156504913,0.027917404,London,london_borough,0.231108071,0.09706539,0.073954583,0.305062653,0.055465937,0.069332421
Central Bedfordshire,0.21903263,0.023960542,East of England,unitary_authority,0.128186346,0.131848813,0.113536478,0.09888661,0.087899209,0.09888661
Cheshire East,0.374394381,0.049570829,North West,unitary_authority,0.181912367,0.176714871,0.062369954,0.148128641,0.135134901,0.072764947
Cheshire West and Chester,0.377069718,0.056404246,North West,unitary_authority,0.292019234,0.056615974,0.065555338,0.223484107,0.163888345,0.035757457
City of London,0.142305347,0.007397976,London,other_london,1.227705214,0.920778911,0.613852607,2.046175357,0.204617536,0.102308768
Cornwall,0.577591414,0.030908003,South West,unitary_authority,0.244926871,0.255499254,0.017620638,0.035241276,0.111010021,0.05991017
